id;ime;naslov;doplacilo;mesto
1375;GOSTILNA ŠELIGO;Goliev trg 8;3.71;TREBNJE
3126;GOSTILNA ŠTORKLJA;Šlajmerjeva 1a;4.21;LJUBLJANA
1123;GOSTILNA ZLATI LEV;Vodnikov trg 4;2.5;MARIBOR
1124;GOSTILNA ZLATI LEV - DOSTAVA;Vodnikov trg 4;2.9;MARIBOR
3060;GOSTILNICA IN PIVNICA VIČ;Trg mladinskih delovnih brigad 8;4.01;LJUBLJANA
1834;GOSTILNICA IN PIZZERIJA KRATOCHWILL;Jurčkova 225;4.3;LJUBLJANA
1835;GOSTILNICA IN PIZZERIJA KRATOCHWILL;Šmartinska 152;4.3;LJUBLJANA
2995;GOSTILNICA META IN BAZILIKA;Rimska cesta 25a;4.31;LJUBLJANA
1213;GOSTILNICA NAMANOVA;Podgorska cesta 2;3.31;SLOVENJ GRADEC
2403;GOSTIŠČE LOKA;Župančičevo sprehajališče 2;4.3;NOVO MESTO
1847;GOSTIŠČE NA TRGU - HIŠA KULINARIKE;Glavni trg 30;2.71;NOVO MESTO
3119;GRAJSKI LOUNGE & PUB;Kranjska cesta 2;4.31;RADOVLJICA
1188;GURMANSKI HRAM;Zagrebška cesta 92;3.21;MARIBOR
1189;GURMANSKI HRAM - DOSTAVA;Zagrebška cesta 92;3.31;MARIBOR
3168;HALO HONG KONG;Litijska 28;4.3;LJUBLJANA
2525;HALO KATRA;Središka ulica 6;4.31;LJUBLJANA
2778;HALO PINKI;Pod ježami 14;3.8;LJUBLJANA
2519;HALO SHAOLIN - DOSTAVA;Hacquetova 5;4.3;LJUBLJANA
2977;HIPERMARKET LJUBLJANA ŠIŠKA;Cesta Ljubljanske brigade 33;2.3;LJUBLJANA
2668;HIŠA POD GRADOM;Streliška ulica 10;4.31;LJUBLJANA
2430;HIT WOK;Čopova 4;3.5;LJUBLJANA
2735;HITRA HRANA MARTINA KRPANA;Šegova ulica 112;2.01;NOVO MESTO
2841;HONG XIANG ;Cesta v mestni log 55;3.7;LJUBLJANA
2842;HONG XIANG - DOSTAVA;Cesta v mestni log 55;4.3;LJUBLJANA
3057;HOSTEL CELICA;Metelkova ulica 8;3.3;LJUBLJANA
2358;HOT HORSE - BTC;Šmartinska cesta 152;4.0;LJUBLJANA
2359;HOT HORSE - TIVOLI;Celovška cesta 25;4.0;LJUBLJANA
1145;HOTEL SLOVENJ GRADEC;Glavni trg 43;3.5;SLOVENJ GRADEC
2846;HOTSPOT BAR&BISTRO;Kardeljeva ploščad 17;3.61;LJUBLJANA
3137;ISTANBUL TURŠKA KUHINJA;Orožnova ulica 3;2.32;MARIBOR
2720;JET BAR;Šubičeva 1;3.5;LJUBLJANA
1386;"JOE PENA&#39;S CANTINA Y BAR";Cankarjeva cesta 6;4.31;LJUBLJANA
3124;JOHNNY MAKARONY;Gorenjesavska cesta 17;3.31;KRANJ
3125;JOHNNY MAKARONY  - DOSTAVA;Gorenjesavska cesta 17;3.31;KRANJ
2533;K16;Aškrčeva 2;0.0;LJUBLJANA
3062;KAMPUS FOOD;Pivovarniška ulica 6;3.5;LJUBLJANA
1639;KANAPE;Gosposvetska cesta 15;0.41;MARIBOR
2581;KAPITAL;Kardeljeva ploščad ;0.0;LJUBLJANA
3001;KAVARNA IN KUHINJA FAKULTETA ZA KMETIJSTVO IN BIOSISTEMSKE VEDE;Pivola 10;2.51;HOČE
2396;KAVARNA NUK;Turjaška 1;3.5;LJUBLJANA
2839;KAVARNA STRIT;Zdravstevna  pot 5;1.9;LJUBLJANA
2775;KITAJSKA PALAČA - DOSTAVA;Focheva ulica 41;4.3;MARIBOR
2703;KITAJSKA RESTAVRACIJA AZIJA;Ptujska cesta 131 ;4.0;MARIBOR
2644;KITAJSKA RESTAVRACIJA AZIJA;Gosposvetska ulica 1;4.0;KRANJ
3074;KITAJSKA RESTAVRACIJA BELI LABOD ;Kolodvorska ulica 20;4.0;LJUBLJANA
2264;KITAJSKA RESTAVRACIJA CESARSKA HIŠA;Ankaranska cesta 5B;3.5;KOPER/CAPODISTRIA
2635;KITAJSKA RESTAVRACIJA DVA ZMAJA;Kersnikova 31;3.31;CELJE
2950;KITAJSKA RESTAVRACIJA HAN;Šmartinska 152g;4.11;LJUBLJANA
3118;KITAJSKA RESTAVRACIJA HAN - ALEJA;Rakuševa ulica 1;4.11;LJUBLJANA
2933;KITAJSKA RESTAVRACIJA MING ZHU;Bazoviška ulica 6;3.5;NOVA GORICA
1415;KITAJSKA RESTAVRACIJA NANKING;Mačkovec 6;3.5;NOVO MESTO
1346;KITAJSKA RESTAVRACIJA NOVI ŠANGHAI;Kapitelska 5;3.5;LJUBLJANA
2446;KITAJSKA RESTAVRACIJA ŠANG HAI;Delavska ulica 11;3.9;JESENICE
2853;KITAJSKA RESTAVRACIJA ZHONGHUA;Trubarjeva cesta 50;3.4;LJUBLJANA
2761;KITAJSKA RESTAVRACIJA ZLATA SRNA;Ulica Pohorskega bataljona 14;2.8;MARIBOR
2762;KITAJSKA RESTAVRACIJA ZLATA SRNA - DOSTAVA;Ulica Pohorskega bataljona 14;3.8;MARIBOR
1165;KITAJSKA RESTAVRACIJA ZVEZDA;Loška ulica 10;2.8;MARIBOR
2265;KITAJSKA RESTAVRACJA CESARSKA HIŠA-DOSTAVA;Ankaranska cesta 5B;4.2;KOPER/CAPODISTRIA
1911;KITAJSKI DVOR;Teharska cesta 35;3.3;CELJE
1610;KITAJSKI DVOR;Dunajska cesta 29;3.5;LJUBLJANA
2117;KITAJSKI DVOR - DOSTAVA;Dunajska cesta 29;4.2;LJUBLJANA
1164;KITAJSKI DVOR - DOSTAVA;Teharska cesta 35;3.3;CELJE
1838;KITAJSKO MESTO;Slamnikarjeva 1;3.21;DOMŽALE
2772;KITAJSKO MESTO - DOSTAVA;Slamnikarjeva 1;4.21;DOMŽALE
1422;KLOPČIČ;Litostrojska cesta 57;2.81;LJUBLJANA
1421;KLOPČIČ - DOM LITOSTROJ;Litostrojska cesta 55;2.81;LJUBLJANA
3140;KLUBAR GASTROPUB;Slovenski trg 7;3.31;KRANJ
3063;KOA BISTRO & BAR;Slovenska cesta 1;4.3;LJUBLJANA
3121;KOZLOVNA POŠTNA;Poštna ulica 12;4.31;MARIBOR
1110;KRATOCHWILL;Nemčavci 1d;3.31;MURSKA SOBOTA
2601;LA CANTINA;Ulica Staneta Žagarja 2b;3.51;RADOVLJICA
2203;LABIRINT;Čevljarska 9;3.1;KOPER/CAPODISTRIA
3059;LEONARD ZMAJSKI MOST;Resljeva cesta 1;1.0;LJUBLJANA
2844;LETEČA ZVEZDA;Kvedrova cesta 5a;3.81;LJUBLJANA
2726;LIPCA - INDEKS;Borštnikov trg 3a;0.0;LJUBLJANA
2640;LONDON STREET FOOD;Stossmayerjeva ulica 26;3.4;MARIBOR
2331;LOVING HUT ;Gosposvetska cesta 43a;3.7;MARIBOR
3076;LUNCH BOX;Gosposvetska cesta 19;0.5;MARIBOR
2975;MAXI LJUBLJANA;Trg republike 1;2.3;LJUBLJANA
2875;MC PANDA;Ulica Vita Kraigherja 5;0.5;MARIBOR
3122;MCDONALD S RESTAVRACIJA  - MURSKA SOBOTA;Nemčavci 1d;2.01;MURSKA SOBOTA
1182;"MCDONALD&#180;S RESTAVRACIJA - SWATY";Tržaška 6;2.01;MARIBOR
1185;"MCDONALD&#180;S RESTAVRACIJA EUROPARK";Pobreška 18;2.01;MARIBOR
1184;"MCDONALD&#180;S RESTAVRACIJA PTUJSKA";Ptujska 106;2.01;MARIBOR
1179;"MCDONALD&#180;S RESTAVRACIJA VELENJE";Kidričeva 2b;2.01;VELENJE
3107;"MCDONALD&#39;S RESTAVRACIJA - ALEJA";Rakuševa ulica 1;2.01;LJUBLJANA
2868;"MCDONALD&#39;S RESTAVRACIJA - CELJE DRIVE";Mariborska cesta 164;2.01;CELJE
1341;"MCDONALD&#39;S RESTAVRACIJA - CELOVŠKA";Celovška cesta 170;2.01;LJUBLJANA
1377;"MCDONALD&#39;S RESTAVRACIJA - ČOPOVA";Čopova 14;2.01;LJUBLJANA
1342;"MCDONALD&#39;S RESTAVRACIJA - DOMŽALE";Breznikova 15;2.01;DOMŽALE
2866;"MCDONALD&#39;S RESTAVRACIJA - KRANJ DRIVE";Cesta Boštjana Hladnika 7;2.01;KRANJ
