id;ime;naslov;doplacilo;mesto
1298;RESTAVRACIJA SPLOŠNE BOLNIŠNICE NOVO MESTO;Šmihelska cesta 1;2.91;NOVO MESTO
2596;RESTAVRACIJA ŠOLSKI CENTER AŠKERČEVA;Aškerčeva 1;3.31;LJUBLJANA
2854;RESTAVRACIJA TARTUF CENTER;Mali trg 3a;3.6;LJUBLJANA
1100;RESTAVRACIJA TUŠ CELJE (PLANET TUŠ);Mariborska cesta 128;2.93;CELJE
3156;RESTAVRACIJA VRTNICA;Kidričeva ulica 11;4.31;NOVA GORICA
2698;RESTAVRACIJA ZLATA SREČA;Metelkova ulica 29;2.8;MARIBOR
3111;REX BISTRO;Cankarejva 6;4.11;LJUBLJANA
3157;RIFUGIO FOOD/DRINK AND MORE;Ulica 15.maja 12e;4.1;KOPER/CAPODISTRIA
2739;ROZA SLON;Trg OF 14;3.5;LJUBLJANA
2859;ROZA SLON BEŽIGRAD;Dunajska 115;3.5;LJUBLJANA
3072;RUBY FOOD;Igriška ulica 5;2.3;LJUBLJANA
2595;SALAMON - DOSTAVA;Dolenjska cesta 103;4.3;LJUBLJANA
2552;SAMOPOSTREŽNA RESTAVRACIJA DOBRA HIŠA;Stegne 11a;4.31;LJUBLJANA
2781;SAMOPOSTREŽNA RESTAVRACIJA STOLPIČ;Mariborska cesta 7;3.01;CELJE
2921;SKUHNA;Trubarjeva 56;4.0;LJUBLJANA
2145;SLAŠČIČARNA IN KAVARNA LEONARD;Trg mladinskih delovnih brigad 12;1.0;LJUBLJANA
3170;SOUL FOOD;Slovenska ulica 20;3.51;MARIBOR
2641;SPLOŠNA BOLNIŠNICA IZOLA;Polje 40;2.81;IZOLA/ISOLA
2263;SREDNJA ŠOLA IZOLA - SCUOLA MEDIA ISOLA;Prekomorskih brigad 7;3.0;IZOLA/ISOLA
2115;STARA KRŠKA PIZZERIJA;Cesta krških žrtev 59;4.11;KRŠKO
2116;STARA KRŠKA PIZZERIJA - DOSTAVA;Cesta krških žrtev 59;4.31;KRŠKO
2569;STARI GRILL;Glavni trg 5;3.11;MARIBOR
2389;SUBWAY;Dunajska cesta 115a;2.5;LJUBLJANA
2714;SUBWAY;Slovenska cesta 1;2.5;LJUBLJANA
2988;SUBWAY BTC;Šmartinska cesta 152;2.5;LJUBLJANA
3090;SUBWAY KOPER;Ankaranska cesta 2;2.5;KOPER/CAPODISTRIA
2092;ŠEHEREZADA;Trubarjeva cesta 31;1.4;LJUBLJANA
3159;ŠEHEREZADA 2;Slovenska cesta 55;2.0;LJUBLJANA
2213;ŠTUDENTSKI DOM LJUBLJANA - RESTAVRACIJA;Svetčeva ulica 9;3.0;LJUBLJANA
2532;TAJ MAHAL - DOSTAVA;Poljanska 14;4.31;LJUBLJANA
3185;TRAPPICA;Rimska cesta 6;3.5;LJUBLJANA
3064;TUNNEL;Karlovška 5;4.3;LJUBLJANA
1101;TUŠ RESTAVRACIJA MARIBOR STUDENCI (PLANET TUŠ);Na Poljanah 18;2.93;MARIBOR
1262;UFO;Svetčeva ulica 14;3.7;LJUBLJANA
2882;UTRIP - BAR, BISTRO IN KAVARNA;Šmartinska cesta 3;4.31;LJUBLJANA
2932;VEČNI ŠTUDENT - DOSTAVA;Tržaška cesta 200;4.31;LJUBLJANA
3183;VEGANSHOP;Železna cesta 8a;4.0;LJUBLJANA
3141;VERDI PTUJ;Ormoška cesta 15;4.31;PTUJ
3002;VILLAGE SNACKS;Turnerjeva ulica 17;1.0;MARIBOR
3117;VINO & RIBE ALEJA;Rakuševa ulica 1;3.92;LJUBLJANA
3061;VINO & RIBE CENTER;Stari trg 28;3.91;LJUBLJANA
2742;VIVO D125;Dunajska cesta 125;4.0;LJUBLJANA
2599;VOLTA;Tržaška cesta 18;2.94;LJUBLJANA
1576;VOZI MIŠKO (MC ŠIŠKA);Cesta Ljubljanske brigade 33;4.31;LJUBLJANA
2298;VOZI MIŠKO (SUPERNOVA RUDNIK);Jurčkova cesta 223;4.31;LJUBLJANA
3078;WOK MIX CENTER;Vetrinjska ulic 15;2.5;MARIBOR
3077;WOK MIX POHORJE;Tančeva ulica 1;2.5;MARIBOR
1350;ZAMARO CAFFEE LOUNGE;Topniška 29a;2.8;LJUBLJANA
2952;ZBORNICA BAR IN ŽAR;Rimska cesta 13;4.31;LJUBLJANA
2993;ZNANSTVENA KAVARNA MAFIJA;Jadranska ulica 21;0.0;LJUBLJANA
2009;ŽITO KOPER;Pristaniška ulica 2;0.0;KOPER/CAPODISTRIA
2956;ŽITO LEON ŠTUKELJ MARIBOR;Trg Leona Štuklja 1;0.0;MARIBOR
2535;ŽITO LJUBLANA ŽELEZNIŠKA (KOLODVOR);Trg OF 7;0.0;LJUBLJANA
2771;ŽITO LJUBLJANA BAVARSKI DVOR;Slovenska cesta 58;0.0;LJUBLJANA
1791;ŽITO LJUBLJANA VODNIK;Vodnikov trg 5;0.0;LJUBLJANA
2322;ŽITO MARIBOR TRG REVOLUCIJE;Trg revolucije 2;0.0;MARIBOR
