id,ime,ocena
3107,MCDONALD&#39;S RESTAVRACIJA - ALEJA,4
2868,MCDONALD&#39;S RESTAVRACIJA - CELJE DRIVE,4
1341,MCDONALD&#39;S RESTAVRACIJA - CELOVŠKA,4
1377,MCDONALD&#39;S RESTAVRACIJA - ČOPOVA,4
1342,MCDONALD&#39;S RESTAVRACIJA - DOMŽALE,5
2866,MCDONALD&#39;S RESTAVRACIJA - KRANJ DRIVE,4
1381,MCDONALD&#39;S RESTAVRACIJA - NOVO MESTO,4
1536,MCDONALD&#39;S RESTAVRACIJA - RUDNIK,4
1379,MCDONALD&#39;S RESTAVRACIJA - ŽELEZNIŠKA,4
1378,MCDONALD&#39;S RESTAVRACIJA - ŽITO,4
2253,MCDONALD&#39;S RESTAVRACIJA KOPER,4
2815,MCDONALD&#39;S RESTAVRACIJA NOVA GORICA,4
2597,MEDITERRANEO,4
1718,MEHIŠKA RESTAVRACIJA IMPERIO - DOSTAVA,4
1407,MEHIŠKA RESTAVRACIJA IMPERIO MEXICANO,4
2023,MENZA BF,5
2521,MENZA FE,5
1474,MENZA PF,5
1214,MLEČNA RESTAVRACIJA,5
2542,MLEČNA RESTAVRACIJA - DOSTAVA,5
2828,NAMASTE INDIAN EXPRESS,5
2732,OKREPČEVALNICA - DINER KINO GLEDALIŠČE BEŽIGRAD,5
1683,OKREPČEVALNICA - PIZZERIJA MAKS,3
2944,OKREPČEVALNICA AJDA,5
1615,OKREPČEVALNICA BADOVINAC,4
3071,OKREPČEVALNICA HOLYFOOD,5
2652,OKREPČEVALNICA IZUM,5
1234,OKREPČEVALNICA MINUTKA,4
2360,OKREPČEVALNICA MM PANDA,4
1237,OKREPČEVALNICA PIVNICA ALF,5
1238,OKREPČEVALNICA PIVNICA ALF - DOSTAVA,4
3128,OKREPČEVALNICA RIBCA,4
2049,OKREPČEVALNICA SARAJEVO,4
2757,OKREPČEVALNICA TIMEOUT,4
1925,OKREPČEVALNICA TIP TOP,4
2480,OŠTARIJA PIZZERIA DA NOI,4
2705,OŠTARIJA PIZZERIA DA NOI - DOSTAVA,5
3115,OŠTARIJA PRI OLJKI,4
1471,OŠTARIJA RUDOLFSWERTH,3
2863,PAPAGAYO,4
2623,PE DIJAŠKI DOM CELJE,4
1424,PE MARJETICA,5
1983,PEK MATJAŽ GLAVNI TRG,5
2248,PICERIJA BARJAN,5
2551,PICERIJA ERA,4
3142,PICERIJA IN PIVNICA KUFR,2
2504,PICERIJA VERONA ,4
1794,PICESTAVRACIJA BOCCACCIO,4
1798,PIVNICA ADAM RAVBAR,4
2185,PIVOVARNA IN PIVNICA KRATOCHWILL,4
2308,PIZZERIA BRIKSEN,3
2736,PIZZERIA CHIANTI,4
1441,PIZZERIA FOCULUS,5
2284,PIZZERIA FONTANA ,5
1292,PIZZERIA IN ŠPAGETARIJA OLIVA,5
1103,PIZZERIA IN ŠPAGETERIA AL CAPONE,4
1305,PIZZERIA IN ŠPAGETTERIA CUBUS,5
1423,PIZZERIA LATERNA,5
2661,PIZZERIA OLIVA,2
2660,PIZZERIA OLIVA - DOSTAVA,2
2165,PIZZERIA OSMICA,4
2375,PIZZERIA PARMA,5
1335,PIZZERIA ŠESTINKA,5
1334,PIZZERIA TOTALKA,4
1011,PIZZERIA VILA RAINERI,5
1861,PIZZERIJA AŠIČ,5
2011,PIZZERIJA AŠIČ - DOSTAVA,5
1031,PIZZERIJA ATRIJ,4
1716,PIZZERIJA DIMNIK,5
1717,PIZZERIJA DIMNIK - DOSTAVA,4
1711,PIZZERIJA ETNA - ITALIJANSKA KUHINJA,5
1994,PIZZERIJA GORENC,4
1413,PIZZERIJA IN OKREPČEVALNICA KONDOR,5
3116,PIZZERIJA IN ŠPAGETERIJA ALCAPONE,4
2784,PIZZERIJA IN ŠPAGETERIJA BUF KRANJ,4
1466,PIZZERIJA PIRAMIDA,4
1176,PIZZERIJA VELUN,5
3073,PR&#39; LETEČMU POTEPUHU,5
2204,PRIMAVERA IZOLA,5
2205,PRIMAVERA IZOLA-DOSTAVA,4
1265,PROMETNA ŠOLA MARIBOR,5
2325,Q SLOVENSKA,4
2651,Q TABOR,4
2992,RESDOBR,4
1564,RESTAVRACIJA  &quot;BAŠČARŠIJA&quot;,4
2187,RESTAVRACIJA 123 DSU,5
2531,RESTAVRACIJA 123 MERCATOR DUNAJSKA,4
2164,RESTAVRACIJA ALLEGRIA,5
2501,RESTAVRACIJA ANCORA,4
2527,RESTAVRACIJA BREJK,5
3101,RESTAVRACIJA DASI IS VALTER GOURMET,5
1626,RESTAVRACIJA DK,5
1827,RESTAVRACIJA FANY &amp; MARY,5
2097,RESTAVRACIJA FRESCO,4
3134,"RESTAVRACIJA FS, FAKULTETA ZA STROJNIŠTVO",5
2843,RESTAVRACIJA GIG,4
3120,RESTAVRACIJA GOYA,5
3036,RESTAVRACIJA IN MALOPRODAJA HERMINE WECH - KOROŠKA PERUTNINA,5
3038,RESTAVRACIJA IN MALOPRODAJA HERMINE WECH - KOROŠKA PERUTNINA,1
2343,RESTAVRACIJA IN PIVNICA ZVEZDA,5
1195,RESTAVRACIJA INTERSPAR CELJE,4
1369,RESTAVRACIJA INTERSPAR CITYPARK,4
1023,RESTAVRACIJA INTERSPAR KOPER,4
1198,RESTAVRACIJA INTERSPAR KRANJ,4
1194,RESTAVRACIJA INTERSPAR MARIBOR EUROPARK,5
1197,RESTAVRACIJA INTERSPAR MARIBOR QLANDIA,4
1199,RESTAVRACIJA INTERSPAR MURSKA SOBOTA,3
1025,RESTAVRACIJA INTERSPAR NOVA GORICA,5
1370,RESTAVRACIJA INTERSPAR VIČ,5
2040,RESTAVRACIJA KITAJSKA PALAČA,4
1130,RESTAVRACIJA KITAJSKI VRT,5
1768,RESTAVRACIJA KLUB CANKARJEVEGA DOMA,5
2475,RESTAVRACIJA KOLODVORSKA ,4
3068,RESTAVRACIJA MANDALA - PODHOD AJDOVŠČINA,5
2085,RESTAVRACIJA MANGO,4
2649,RESTAVRACIJA MCDONALDS - CITYCENTER,4
2759,RESTAVRACIJA MCDONALDS - PTUJ,5
3144,RESTAVRACIJA MENSANA,5
2721,RESTAVRACIJA MODRI KVADRAT,4
1382,RESTAVRACIJA MOZART,5
3049,RESTAVRACIJA MR.FALAFEL,4
2619,RESTAVRACIJA ORIENT,4
2953,RESTAVRACIJA PEKING,4
2229,RESTAVRACIJA PIANO,4
1360,RESTAVRACIJA PLEČNIKOV HRAM,4
2180,"RESTAVRACIJA PRESTIGE CATERING, GZS",5
1321,RESTAVRACIJA RDEČE JABOLKO,4
2959,RESTAVRACIJA RUTAR MARIBOR,3
2252,RESTAVRACIJA SARAJEVSKIH JEDI VALTER - ŠKOFJA LOKA,4
2884,RESTAVRACIJA SARAJEVSKIH JEDI VALTER JESENICE,5
2326,RESTAVRACIJA SARAJEVSKIH JEDI VALTER KRANJ,5
2131,RESTAVRACIJA SARAJEVSKIH JEDI VALTER LJUBLJANA,5
2520,RESTAVRACIJA SHAOLIN,4
1367,RESTAVRACIJA SKRITI KOT,4
1298,RESTAVRACIJA SPLOŠNE BOLNIŠNICE NOVO MESTO,4
